transformer_id,risk_score,risk_level,failure
1813,0.0006233108,Low,0
495,0.00059058797,Low,0
371,0.0005734731,Low,0
1993,0.00052435417,Low,0
485,0.0004985841,Low,0
1652,0.00043880873,Low,0
1042,0.00043643234,Low,0
1210,0.00042164943,Low,0
1114,0.0004130276,Low,0
325,0.00034444593,Low,0
1872,0.0003375106,Low,0
1278,0.00033565096,Low,0
1866,0.0003307702,Low,0
903,0.00032194075,Low,0
809,0.000317467,Low,0
551,0.00030998365,Low,0
657,0.00026925188,Low,0
29,0.0002364758,Low,0
925,0.00020157342,Low,0
1055,0.0001996033,Low,0
561,0.00017635508,Low,0
416,0.00016506828,Low,0
1344,0.0001496579,Low,0
718,0.00014404996,Low,0
691,0.00013708483,Low,0
289,0.000117710915,Low,0
152,9.8165845e-05,Low,0
1497,9.549419e-05,Low,0
1653,7.6467004e-05,Low,0
1192,7.14498e-05,Low,0
1406,2.0279638e-05,Low,0
